Question de recherche,Sous-question de recherche,Groupe de population,Indicator,Sous-ensemble de donnée,Sanmatenga,Loroum,Yatenga,Mouhoun,Komonjdjari,Bam,Kossi,Gourma,Nayala,Yagha,Soum,Oudalan,Sourou,Kompienga,Banwa,Gnagna,Namentenga,Zondoma,Tapoa,Bale,Passore
BNA/Abri,Abri,Type abri logement: En bois/ en planche,Sous-ensemble de donnée,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,0
BNA/Abri,Abri,Type abri logement: En dur,Sous-ensemble de donnée,18,26,15,16,32,12,17,11,30,13,8,12,13,12,13,28,18,20,14,6,25,7
BNA/Abri,Abri,Type abri logement: En paille,Sous-ensemble de donnée,NA,2,NA,NA,NA,10,4,0,2,NA,0,1,3,NA,10,NA,9,0,1,13,1,NA
BNA/Abri,Abri,Type d’abri: Abri d'urgence (recu lors d'une distribution),NA,3,14,1,1,NA,NA,7,2,0,NA,0,3,2,0,0,NA,NA,2,NA,NA,NA,NA
BNA/Abri,Abri,Type d’abri: Abris de fortune,NA,4,4,NA,0,NA,1,3,1,0,1,25,3,3,5,2,4,3,1,NA,2,1,NA
BNA/Abri,Abri,Type d’abri: Bâtiment inachevé,NA,1,1,NA,0,2,0,NA,1,0,NA,0,NA,2,0,NA,1,NA,NA,NA,1,0,NA
BNA/Abri,Abri,Type d’abri: Bâtiments communautaires,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA
BNA/Abri,Abri,"Type d’abri: Constructions non destinées au logement (Hangars, dépôts, constructions auxiliaires des fermes, …)",NA,0,1,NA,0,NA,0,1,1,0,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA
BNA/Abri,Abri,Type d’abri: Logement/ Maison construite,NA,91,80,99,99,98,98,89,95,99,99,74,94,93,95,97,94,97,95,100,97,98,100
BNA/Abri,Abri,Type d’abri: Pas d'abris,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
BNA/Abri,BNA,BNA les plus demandés: Articles d'hygiène pour femmes,NA,7,7,19,13,9,15,10,19,14,3,9,9,9,17,7,7,8,15,16,24,16,9
BNA/Abri,BNA,BNA les plus demandés: Articles pour les soins des bébés,NA,18,13,26,21,19,11,15,22,21,14,37,19,21,21,12,20,12,14,16,26,15,17
BNA/Abri,BNA,BNA les plus demandés: Aucun,NA,12,8,7,18,31,13,4,18,13,29,4,2,10,16,17,37,18,8,14,13,21,7
BNA/Abri,BNA,BNA les plus demandés: Autre,NA,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0
BNA/Abri,BNA,BNA les plus demandés: Bidon,NA,12,24,8,4,6,36,10,6,20,4,10,17,14,9,37,5,17,10,6,23,10,12
BNA/Abri,BNA,BNA les plus demandés: Casserole,NA,42,40,23,37,25,42,40,29,44,18,27,39,40,18,38,27,36,37,43,31,18,41
BNA/Abri,BNA,BNA les plus demandés: Corde,NA,3,0,0,1,4,2,1,5,2,5,1,0,3,8,1,4,1,0,5,1,2,0
BNA/Abri,BNA,BNA les plus demandés: Couverture,NA,53,58,51,54,30,40,64,33,39,45,52,63,61,47,41,22,42,59,45,35,44,50
BNA/Abri,BNA,BNA les plus demandés: Je ne sais pas,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BNA/Abri,BNA,BNA les plus demandés: Moustiquaire,NA,43,32,53,32,25,22,40,29,31,23,54,40,38,35,11,32,36,39,34,30,35,27
BNA/Abri,BNA,BNA les plus demandés: Natte de couchage,NA,54,59,44,39,41,47,62,39,41,43,43,63,52,38,37,23,46,58,35,30,42,43
BNA/Abri,BNA,BNA les plus demandés: Savon,NA,16,24,43,38,28,19,32,36,33,39,35,29,21,40,24,29,29,27,43,32,32,57
BNA/Abri,BNA,BNA les plus demandés: Seau,NA,16,15,10,7,13,22,13,17,13,17,18,17,11,13,35,10,15,14,12,26,16,18
Santé,Naissance,Lieu naissance :: Autre,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Naissance,Lieu naissance :: Centre De Santé,NA,89,98,88,99,100,92,88,98,98,96,72,97,78,92,95,100,92,99,119,87,97,102
Santé,Naissance,Lieu naissance :: Maison,NA,11,3,7,1,0,6,10,2,7,4,28,4,23,6,5,0,10,1,0,6,3,2
Santé,Naissance,Ménage ayant eu une naissance dans la dernière année: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
Santé,Naissance,Ménage ayant eu une naissance dans la dernière année: Non,Sous-ensemble de donnée,25,18,35,37,37,20,22,21,20,32,29,30,23,22,30,30,18,27,31,20,24,22
Santé,Naissance,Ménage ayant eu une naissance dans la dernière année: Oui,Sous-ensemble de donnée,75,82,65,63,63,80,78,79,80,68,71,70,77,78,70,70,82,73,69,80,73,78
Santé,Naissance,Raison accouchement à domicile :: Assistance Personnel De Santé À Domicile,NA,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Naissance,Raison accouchement à domicile :: Centre De Santé/Maternité Fermé,NA,4,1,3,1,0,3,1,0,6,0,5,1,7,5,0,0,2,1,0,3,0,2
Santé,Naissance,Raison accouchement à domicile :: Centre De Santé/Maternité Financièrement Inaccessible,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Naissance,Raison accouchement à domicile :: Centre De Santé/Maternité Surpeuplé,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Santé,Naissance,Raison accouchement à domicile :: Coutumes/Tradition/Pas Nécessaire D’Aller Au Centre De Santé/Maternité,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Naissance,Raison accouchement à domicile :: Maternité/Centre De Santé Par Sûr,NA,2,2,2,0,0,3,5,2,0,0,3,3,13,0,5,0,2,0,0,0,3,0
Santé,Naissance,Raison accouchement à domicile :: Ne Sait Pas / Ne Veut Pas Répondre,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Santé,Naissance,Raison accouchement à domicile :: Physiquement Impossible Pour La Mère De Se Rendre Au Centre De Santé/Maternité,NA,3,1,0,0,0,0,3,0,0,4,20,0,2,0,0,0,6,0,0,3,0,0
Santé,Services,Accès service de santé: Je ne sais pas / préfère ne pas répondre,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santé,Services,Accès service de santé: Non,NA,0,2,18,6,34,2,2,15,8,13,10,8,2,38,8,12,13,8,5,4,6,1
Santé,Services,Accès service de santé: Oui,NA,100,98,82,94,66,98,98,85,92,87,90,92,98,62,92,88,87,92,95,96,94,99
Santé,Services,Raison manque accès service de santé: Autre,Sous-ensemble de donnée,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Il n'y a jamais eu d'infrastructures de santé à proximité,Sous-ensemble de donnée,NA,29,NA,58,51,NA,62,28,62,57,NA,NA,NA,11,NA,23,61,10,47,100,57,NA
Santé,Services,Raison manque accès service de santé: Il n'y a pas de médicaments disponibles,Sous-ensemble de donnée,NA,NA,NA,NA,6,NA,NA,2,NA,4,12,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Il n'y a pas de travailleurs de santé dans la zone,Sous-ensemble de donnée,NA,NA,12,14,2,NA,NA,2,NA,NA,NA,NA,NA,18,35,6,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Je ne sais pas / ne souhaite pas répondre,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: L'insécurité est trop forte dans la zone,Sous-ensemble de donnée,NA,NA,60,20,NA,NA,NA,8,19,NA,52,96,23,21,65,NA,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Le ménage estime que la qualité des soins fournis n’est pas suffisante,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Le ménage n’a pas les ressources financières pour s’octroyer des soins médicaux,Sous-ensemble de donnée,NA,NA,2,NA,2,NA,NA,11,1,4,NA,NA,NA,4,NA,9,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Les infrastructures ont été détruites durant les combats,Sous-ensemble de donnée,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,26,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santé,Services,"Raison manque accès service de santé: Les infrastructures ont été détruites par des catastrophes naturelles (inondation, incendie, etc.)",Sous-ensemble de donnée,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santé,Services,Raison manque accès service de santé: Les infrastructures sont trop éloignées,Sous-ensemble de donnée,NA,71,26,1,37,NA,38,45,18,35,10,4,38,43,NA,52,32,90,53,NA,43,NA
Santé,Services,Temps nécessaire pour aller au service de santé le plus proche: Entre 15 et moins 30 minutes,Sous-ensemble de donnée,36,33,38,32,22,32,29,38,27,32,35,43,29,32,30,32,18,36,29,27,28,18
Santé,Services,Temps nécessaire pour aller au service de santé le plus proche: Entre 30 minutes et moins d'une heure,Sous-ensemble de donnée,23,26,29,27,32,34,36,18,31,25,31,24,23,20,46,21,26,25,32,37,31,27
Santé,Services,Temps nécessaire pour aller au service de santé le plus proche: Entre une heure moins de 3 heures,Sous-ensemble de donnée,7,9,15,8,17,15,22,19,16,15,17,5,26,10,8,8,20,10,18,21,16,33
Santé,Services,Temps nécessaire pour aller au service de santé le plus proche: Moins de 15 minutes,Sous-ensemble de donnée,33,31,15,32,28,17,11,23,21,25,13,28,22,35,17,34,30,24,21,15,22,19
Santé,Services,Temps nécessaire pour aller au service de santé le plus proche: Plus de 3h,Sous-ensemble de donnée,1,1,3,1,1,2,2,1,5,3,4,0,NA,3,NA,1,6,4,1,1,2,3
Santé,Malade de moins de 5 ans,Enfants de moins de 5 ans avec :: Autre,NA,4,3,4,4,3,3,3,3,1,3,4,4,2,3,4,7,3,2,7,3,5,2
Santé,Malade de moins de 5 ans,Enfants de moins de 5 ans avec :: Diarrhée,NA,13,10,12,10,8,9,4,3,18,5,23,8,18,12,9,5,16,11,7,14,3,12
Santé,Malade de moins de 5 ans,Enfants de moins de 5 ans avec :: Infections respiratoires,NA,4,2,2,3,1,4,1,0,6,1,6,4,4,2,1,1,8,0,1,6,2,3
Santé,Malade de moins de 5 ans,Enfants de moins de 5 ans avec :: Ne sait pas,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Santé,Malade de moins de 5 ans,Enfants de moins de 5 ans avec :: Paludisme,NA,32,18,35,25,23,41,22,34,42,27,37,33,33,29,53,22,43,29,32,56,14,36
Santé,Décès,% de décès: Femmes de 18 à 64 ans,NA,1,1,0,3,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Santé,Décès,% de décès: Femmes de plus de 65 ans,NA,11,3,0,4,0,24,11,14,0,4,0,4,19,0,0,0,6,0,10,7,0,0
Santé,Décès,% de décès: Filles de 5 à 17 ans,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Décès,% de décès: Filles de moins de 5 ans,NA,2,0,1,2,0,1,1,1,0,0,3,3,2,2,9,1,3,3,3,7,9,5
Santé,Décès,% de décès: Garçons de 5 à 17 ans,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Décès,% de décès: Garçons de moins de 5 ans,NA,3,0,1,2,0,1,2,1,0,0,4,4,2,2,9,1,4,3,4,8,5,6
Santé,Décès,% de décès: Hommes de 18 à 64 ans,NA,0,2,0,1,0,2,1,0,0,0,1,1,1,1,3,1,1,1,2,3,2,2
Santé,Décès,% de décès: Hommes de plus de 65 ans,NA,3,0,9,4,0,24,5,2,7,4,0,6,3,0,0,0,24,14,7,39,18,2
Santé,Décès,Décès dans le ménage durant 30 derniers jours: Non,NA,95,95,97,91,99,90,95,98,99,97,97,93,95,98,92,99,94,95,95,92,95,96
Santé,Décès,Décès dans le ménage durant 30 derniers jours: Oui,NA,5,5,3,9,1,10,5,2,1,3,3,7,5,2,8,1,6,5,5,8,5,4
Santé,Décès,Nombre de décès dans les 30 derniers jours,Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santé,Décès,Raison du décès:: Accident De La Route,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,12,0,0
Santé,Décès,Raison du décès:: Accident De Travail,NA,0,0,5,0,0,8,12,0,0,0,0,15,2,0,0,0,0,8,0,0,0,39
Santé,Décès,Raison du décès:: Accident/Conflit,NA,0,6,14,1,0,17,0,0,20,0,0,18,0,0,39,0,0,0,0,2,0,0
Santé,Décès,Raison du décès:: Autre,NA,0,0,0,0,0,0,15,14,0,0,7,0,0,0,0,0,0,5,0,0,0,13
Santé,Décès,Raison du décès:: Autre Maladie,NA,82,82,28,56,100,25,48,52,194,57,64,31,55,99,39,50,36,43,61,40,94,47
Santé,Décès,Raison du décès:: Catastrophe Naturelle,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Santé,Décès,Raison du décès:: Cause Naturelle,NA,2,0,48,12,0,9,15,14,4,14,0,21,19,0,0,0,31,6,18,16,0,0
Santé,Décès,Raison du décès:: Diarrhée,NA,0,6,0,5,0,25,6,20,3,14,28,10,23,0,0,0,24,0,15,0,6,0
Santé,Décès,Raison du décès:: En Couche,NA,0,6,0,0,0,0,0,0,6,0,0,0,0,1,11,0,0,0,0,0,0,0
Santé,Décès,Raison du décès:: Faim,NA,0,0,0,0,0,9,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0
Santé,Décès,Raison du décès:: Morsure,NA,10,0,0,0,0,0,3,0,0,14,0,5,0,0,0,0,18,0,0,0,0,0
Santé,Décès,Raison du décès:: Problèmes Respiratoires,NA,2,0,5,26,0,8,0,0,3,0,0,0,0,0,0,50,0,0,6,11,0,0
Santé,Nutrition,Accès centres nutritionnels: Aucun service nutritionnel,NA,21,15,30,12,75,21,9,74,68,79,18,19,11,71,8,63,70,38,8,30,77,2
Santé,Nutrition,Accès centres nutritionnels: Des services mobiles de nutrition,NA,6,17,44,14,4,5,7,3,8,5,21,16,8,4,0,5,11,1,14,6,8,20
Santé,Nutrition,Accès centres nutritionnels: Un centre qui offre des services nutritionnels,NA,78,82,67,86,22,79,89,24,32,18,81,75,89,26,92,35,28,62,91,70,21,93
Santé,Nutrition,Formation d’un membre au dépistage du MUAC: Je ne sais pas / préfère ne pas répondre,NA,0,0,NA,0,2,NA,NA,0,NA,3,1,1,NA,0,NA,NA,NA,3,1,NA,NA,1
Santé,Nutrition,Formation d’un membre au dépistage du MUAC: Non,NA,87,82,87,77,93,72,91,91,89,93,93,73,76,88,93,91,91,82,79,78,99,68
Santé,Nutrition,Formation d’un membre au dépistage du MUAC: Oui,NA,13,17,13,23,5,28,9,9,11,4,6,25,24,12,7,9,9,15,20,22,1,31
Santé,Nutrition,Possède un ruban MUAC: Je ne sais pas / préfère ne pas répondre,NA,2,0,NA,1,2,0,NA,NA,NA,1,3,1,NA,0,NA,NA,NA,1,1,NA,0,1
Santé,Nutrition,Possède un ruban MUAC: Non,NA,89,85,92,89,97,71,94,93,87,97,94,91,86,96,86,97,93,95,97,74,99,86
Santé,Nutrition,Possède un ruban MUAC: Oui,NA,10,14,8,10,1,29,6,7,13,2,3,7,14,4,14,3,7,4,2,26,1,13
Santé,Nutrition,Services nutritionnels disponibles: Aucun,Sous-ensemble de donnée,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
Santé,Nutrition,Services nutritionnels disponibles: Autre,Sous-ensemble de donnée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,Nutrition,Services nutritionnels disponibles: Groupe de soutien pour les femmes enceintes et les mères allaitantes,Sous-ensemble de donnée,0,20,8,19,6,30,13,40,42,3,6,12,0,23,13,17,39,8,22,25,0,22
Santé,Nutrition,Services nutritionnels disponibles: Ne sait pas,Sous-ensemble de donnée,9,0,0,1,0,0,0,0,0,0,2,2,1,3,0,1,0,4,1,0,0,1
Santé,Nutrition,Services nutritionnels disponibles: Présence d'une personne capable de faire le dépistage précoce de la malnutrition à l'aide d'un ruban,Sous-ensemble de donnée,12,74,84,54,22,72,75,14,64,37,8,40,26,10,75,13,54,65,53,59,13,47
Santé,Nutrition,Services nutritionnels disponibles: Prise en charge de la malnutrition modérée des enfants,Sous-ensemble de donnée,50,79,79,81,68,95,83,55,95,65,61,57,50,72,100,64,80,74,76,93,88,81
Santé,Nutrition,Services nutritionnels disponibles: Prise en charge de la malnutrition modérée des femmes enceintes et allaitantes,Sous-ensemble de donnée,14,58,58,55,16,88,64,6,83,8,53,26,11,2,99,6,63,68,54,88,1,58
Santé,Nutrition,Services nutritionnels disponibles: Prise en charge de la malnutrition sévère des enfants,Sous-ensemble de donnée,86,63,93,68,79,48,52,37,79,70,59,75,86,57,36,90,76,55,73,34,46,58
Santé,Nutrition,Services nutritionnels disponibles: Prise en charge de la malnutrition sévère des femmes enceintes et allaitantes,Sous-ensemble de donnée,21,43,82,51,51,38,49,14,65,25,26,33,28,21,29,39,69,44,45,25,16,28
Santé,Nutrition,Temps pour accéder au service nutritionnels: Moins de 15 minutes,Sous-ensemble de donnée,39,23,26,34,22,16,16,25,8,26,17,25,23,33,20,42,24,23,22,14,56,22
Santé,Nutrition,Temps pour accéder au service nutritionnels: Moins de 1h,Sous-ensemble de donnée,19,24,26,21,27,34,29,35,31,20,44,22,27,28,25,18,15,21,30,33,NA,25
Santé,Nutrition,Temps pour accéder au service nutritionnels: Moins de 30 minutes,Sous-ensemble de donnée,33,42,39,34,21,39,44,25,40,24,23,46,31,24,50,31,28,44,27,31,25,16
Santé,Nutrition,Temps pour accéder au service nutritionnels: Moins de 3h,Sous-ensemble de donnée,8,10,5,9,24,9,9,13,9,27,11,6,19,12,5,7,25,8,18,21,16,34
Santé,Nutrition,Temps pour accéder au service nutritionnels: Plus de 3h,Sous-ensemble de donnée,1,0,4,3,6,2,3,1,12,2,5,1,1,3,NA,2,7,3,2,2,2,3
Sécurité alimentaire,Revenus,Deuxième source de revenu: Agriculture ou maraîchage et vente des produits d'agriculture,Sous-ensemble de donnée,13,8,14,14,6,15,8,15,6,15,15,3,9,13,10,12,11,12,21,16,14,13
Sécurité alimentaire,Revenus,Deuxième source de revenu: Aucune,Sous-ensemble de donnée,32,34,25,20,22,25,38,19,38,4,16,26,21,25,32,20,25,27,25,26,28,17
Sécurité alimentaire,Revenus,Deuxième source de revenu: Autre (à préciser),Sous-ensemble de donnée,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sécurité alimentaire,Revenus,Deuxième source de revenu: Commerce,Sous-ensemble de donnée,1,4,1,1,7,2,6,4,3,9,2,2,1,4,3,7,1,1,1,2,2,3
Sécurité alimentaire,Revenus,"Deuxième source de revenu: Élevage et vente de produits d’élevage et de bétail (lait, œufs, volailles)",Sous-ensemble de donnée,14,20,23,22,28,25,24,30,17,34,26,8,21,27,15,39,20,41,30,10,28,36
Sécurité alimentaire,Revenus,Deuxième source de revenu: Fonctionnaires et/ou salariés (y compris pension),Sous-ensemble de donnée,NA,0,1,1,NA,NA,NA,4,1,NA,2,NA,1,0,NA,1,1,0,NA,2,0,1
Sécurité alimentaire,Revenus,Deuxième source de revenu: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sécurité alimentaire,Revenus,"Deuxième source de revenu: Pêche/Chasse/cueillette et vente des produits de la pêche/chasse/cueillette (miel, gibier, champignons, chenilles)",Sous-ensemble de donnée,1,1,NA,3,2,2,1,1,4,7,0,1,1,1,1,NA,5,0,NA,3,2,NA
Sécurité alimentaire,Revenus,Deuxième source de revenu: Petit commerce,Sous-ensemble de donnée,12,14,13,12,16,11,11,9,20,17,20,17,21,10,10,12,22,8,7,14,18,8
Sécurité alimentaire,Revenus,"Deuxième source de revenu: Petits métiers (menuisier, maçons, plombier, tailleur etc.))",Sous-ensemble de donnée,8,7,4,8,16,3,4,7,4,11,6,10,5,5,0,7,5,4,3,5,3,7
Sécurité alimentaire,Revenus,Deuxième source de revenu: Propriétaires terriens (vente ou location de terres ou logement),Sous-ensemble de donnée,NA,NA,1,1,NA,1,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Sécurité alimentaire,Revenus,Deuxième source de revenu: Transferts d'argent/Aides/Dons sociaux (fait par la communauté/famille et/ou des tierces personnes)/Aides/Dons humanitaire (fait par l’Etat ou des organisations)/Mendicité/Emprunts/Dettes,Sous-ensemble de donnée,9,3,12,9,1,6,2,2,3,2,3,16,11,9,16,1,4,2,11,8,1,13
Sécurité alimentaire,Revenus,Deuxième source de revenu: Transformation produits naturels/Exploitation/vente de la production minière,Sous-ensemble de donnée,3,5,2,9,1,NA,3,0,2,1,7,5,4,NA,1,1,2,3,2,NA,3,2
Sécurité alimentaire,Revenus,"Deuxième source de revenu: Transport (chauffeur, activités connexes)",Sous-ensemble de donnée,2,NA,NA,0,NA,1,NA,0,NA,NA,NA,1,NA,NA,2,NA,1,NA,1,0,NA,NA
Sécurité alimentaire,Revenus,Deuxième source de revenu: Travail journalier rémunéré agricole (en nature ou en espèces),Sous-ensemble de donnée,0,1,1,0,NA,NA,1,1,NA,1,0,2,2,3,1,1,1,0,NA,5,0,NA
Sécurité alimentaire,Revenus,Deuxième source de revenu: Travail journalier rémunéré non agricole,Sous-ensemble de donnée,4,3,4,1,1,8,2,1,1,NA,2,10,5,2,10,2,1,1,NA,8,1,1
Sécurité alimentaire,Revenus,Première source de revenu: Agriculture ou maraîchage et vente des produits d'agriculture,NA,22,31,24,35,66,24,40,48,53,71,42,14,16,54,32,65,67,56,35,34,72,36
Sécurité alimentaire,Revenus,Première source de revenu: Aucune,NA,1,3,0,0,NA,1,1,0,1,1,NA,1,NA,3,NA,NA,1,1,NA,0,NA,NA
Sécurité alimentaire,Revenus,Première source de revenu: Commerce,NA,7,12,3,8,3,8,5,3,2,1,3,9,7,4,9,5,5,4,4,4,6,1
Sécurité alimentaire,Revenus,"Première source de revenu: Élevage et vente de produits d’élevage et de bétail (lait, œufs, volailles)",NA,10,8,24,18,6,25,10,11,11,10,14,10,17,12,20,8,8,10,22,20,6,33
Sécurité alimentaire,Revenus,Première source de revenu: Fonctionnaires et/ou salariés (y compris pension),NA,7,4,7,6,5,7,4,8,4,4,3,4,5,6,1,13,3,6,8,8,7,1
Sécurité alimentaire,Revenus,Première source de revenu: Je ne sais pas / préfère ne pas répondre,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sécurité alimentaire,Revenus,"Première source de revenu: Pêche/Chasse/cueillette et vente des produits de la pêche/chasse/cueillette (miel, gibier, champignons, chenilles)",NA,NA,1,NA,NA,NA,4,0,NA,1,NA,1,NA,0,NA,2,NA,NA,NA,NA,NA,NA,NA
Sécurité alimentaire,Revenus,Première source de revenu: Petit commerce,NA,9,12,7,6,6,7,5,9,8,3,8,12,13,6,13,4,2,9,5,5,4,8
Sécurité alimentaire,Revenus,"Première source de revenu: Petits métiers (menuisier, maçons, plombier, tailleur etc.))",NA,19,7,12,11,11,8,14,13,11,7,7,16,14,6,4,2,4,7,11,10,3,6
Sécurité alimentaire,Revenus,Première source de revenu: Propriétaires terriens (vente ou location de terres ou logement),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Sécurité alimentaire,Revenus,Première source de revenu: Transferts d'argent/Aides/Dons sociaux (fait par la communauté/famille et/ou des tierces personnes)/Aides/Dons humanitaire (fait par l’Etat ou des organisations)/Mendicité/Emprunts/Dettes,NA,10,11,17,2,3,3,10,3,4,2,6,14,16,7,10,1,1,4,4,6,NA,7
Sécurité alimentaire,Revenus,Première source de revenu: Transformation produits naturels/Exploitation/vente de la production minière,NA,8,2,2,8,NA,5,5,1,2,3,9,7,6,NA,0,1,3,2,7,NA,NA,6
Sécurité alimentaire,Revenus,"Première source de revenu: Transport (chauffeur, activités connexes)",NA,1,1,NA,NA,NA,NA,2,0,2,NA,0,1,2,0,1,1,NA,NA,2,2,1,NA
Sécurité alimentaire,Revenus,Première source de revenu: Travail journalier rémunéré agricole (en nature ou en espèces),NA,NA,1,2,1,1,1,0,1,0,NA,1,2,2,2,3,NA,1,0,NA,2,NA,1
Sécurité alimentaire,Revenus,Première source de revenu: Travail journalier rémunéré non agricole,NA,6,6,3,4,NA,9,3,0,2,NA,5,10,3,0,5,NA,4,0,1,9,1,NA
Sécurité alimentaire,Revenus,Revenu couvrent: Je ne sais pas / préfère ne pas répondre,NA,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA
Sécurité alimentaire,Revenus,Revenu couvrent: Non,NA,89,91,92,82,72,87,96,82,88,69,96,98,90,86,83,73,83,92,85,87,76,93
Sécurité alimentaire,Revenus,Revenu couvrent: Oui,NA,10,9,7,18,28,13,4,17,12,31,4,2,10,14,17,27,17,8,14,13,24,7
Sécurité alimentaire,Revenus,Troisième source de revenu: Agriculture ou maraîchage et vente des produits d'agriculture,Sous-ensemble de donnée,4,1,3,9,7,8,2,14,4,6,11,3,14,7,4,8,3,4,7,3,NA,6
Sécurité alimentaire,Revenus,Troisième source de revenu: Aucune,Sous-ensemble de donnée,47,57,55,57,56,47,60,46,64,60,28,67,42,56,60,45,54,57,61,62,60,59
Sécurité alimentaire,Revenus,Troisième source de revenu: Commerce,Sous-ensemble de donnée,NA,1,2,0,3,NA,3,1,NA,1,NA,NA,0,4,NA,2,NA,5,NA,NA,5,2
Sécurité alimentaire,Revenus,"Troisième source de revenu: Élevage et vente de produits d’élevage et de bétail (lait, œufs, volailles)",Sous-ensemble de donnée,10,9,9,7,3,9,6,7,3,7,14,3,14,10,11,14,14,5,8,13,10,12
Sécurité alimentaire,Revenus,Troisième source de revenu: Fonctionnaires et/ou salariés (y compris pension),Sous-ensemble de donnée,1,1,NA,1,1,2,NA,0,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA
Sécurité alimentaire,Revenus,Troisième source de revenu: Je ne sais pas / préfère ne pas répondre,Sous-ensemble de donnée,5,1,NA,NA,3,NA,0,0,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
